position,salary,fppg,value,team,opponent,floor,proj,cieling,proj value,site,spread,opp pa yds all,opp pa yds all/game,opp pa tds all,opp pa tds all/game,opp ru yds all,opp ru yds all/game,opp ru tds all,opp ru tds all/game,game info
Antonio Brown,9200,35.4,3.85,PIT,BAL,13.9,15.2,22.5,1.65,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Randall Cobb,7300,18.7,2.56,GB,KC,11.4,12.8,18.4,1.75,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Steve Smith Sr.,6200,15.65,2.52,BAL,PIT,,,,,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Jeremy Maclin,6000,9.85,1.64,KC,GB,8.1,9.7,14.0,1.62,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Davante Adams,5000,9.1,1.82,GB,KC,5.5,7.1,11.3,1.42,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
James Jones,4800,15.5,3.23,GB,KC,7.5,8.1,10.5,1.69,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Breshad Perriman,4500,0.0,0.0,BAL,PIT,0.0,0.0,0.0,0.0,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Darrius Heyward-Bey,3600,13.75,3.82,PIT,BAL,0.1,3.8,9.9,1.06,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Markus Wheaton,3500,9.6,2.74,PIT,BAL,5.5,6.4,10.9,1.83,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Kamar Aiken,3300,6.9,2.09,BAL,PIT,3.5,4.3,9.0,1.3,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Chris Conley,3200,0.0,0.0,KC,GB,0.5,0.4,1.0,0.13,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Jason Avant,3000,0.0,0.0,KC,GB,1.4,1.8,2.7,0.6,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Frankie Hammond Jr.,3000,0.0,0.0,KC,GB,,,,,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Michael Campanaro,3000,0.9,0.3,BAL,PIT,0.8,1.4,1.9,0.47,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Dri Archer,3000,0.0,0.0,PIT,BAL,,,,,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Marlon Brown,3000,3.85,1.28,BAL,PIT,1.8,2.9,4.8,0.97,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Albert Wilson,3000,2.75,0.92,KC,GB,2.5,3.0,4.0,1.0,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Sammie Coates,3000,0.0,0.0,PIT,BAL,2.4,1.2,2.4,0.4,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Ty Montgomery,3000,3.85,1.28,GB,KC,0.7,2.6,6.4,0.87,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Darren Waller,3000,0.0,0.0,BAL,PIT,0.6,0.3,0.7,0.1,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
De'Anthony Thomas,3000,2.55,0.85,KC,GB,2.2,2.8,5.4,0.93,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Jeff Janis,3000,0.0,0.0,GB,KC,0.7,0.4,0.7,0.13,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
